number,department,municipality,area,location,address,electoralLoad
00086,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,336
00087,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,335
00088,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,335
00089,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,335
00090,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,335
00091,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,335
00092,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,335
00093,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,335
00094,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB JOSE CECIIO DEL VALLE,023-BO. BELLA VISTA,335
00095,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. MANUEL BONILLA,024-COL. EL SAUCE,322
00096,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. MANUEL BONILLA,024-COL. EL SAUCE,322
00097,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. MANUEL BONILLA,024-COL. EL SAUCE,322
00098,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. MANUEL BONILLA,024-COL. EL SAUCE,322
00099,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. MANUEL BONILLA,024-COL. EL SAUCE,322
00100,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. MANUEL BONILLA,024-COL. EL SAUCE,322
00101,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. MARCO ANTONIO PONCE,026-COL. LAS MERCEDES,314
00102,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. MARCO ANTONIO PONCE,026-COL. LAS MERCEDES,314
00103,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. MARCO ANTONIO PONCE,026-COL. LAS MERCEDES,314
00104,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. MARCO ANTONIO PONCE,026-COL. LAS MERCEDES,314
00105,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. MARCO ANTONIO PONCE,026-COL. LAS MERCEDES,314
00106,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00107,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00108,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00109,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00110,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00111,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00112,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00113,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00114,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00115,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,347
00116,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,346
