Código Departamento,Departamento,Código Municipio,Municipio,Área,Sector Electoral,Centro de Votación,JRV,Carga Electoral
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,87,335
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,88,335
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,89,335
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,90,335
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,91,335
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,92,335
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,93,335
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,94,335
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. EL SAUCE,INST. MANUEL BONILLA,95,322
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. EL SAUCE,INST. MANUEL BONILLA,96,322
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. EL SAUCE,INST. MANUEL BONILLA,97,322
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. EL SAUCE,INST. MANUEL BONILLA,98,322
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. EL SAUCE,INST. MANUEL BONILLA,99,322
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. EL SAUCE,INST. MANUEL BONILLA,100,322
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LAS MERCEDES,ESC. MARCO ANTONIO PONCE,101,314
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LAS MERCEDES,ESC. MARCO ANTONIO PONCE,102,314
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LAS MERCEDES,ESC. MARCO ANTONIO PONCE,103,314
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LAS MERCEDES,ESC. MARCO ANTONIO PONCE,104,314
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LAS MERCEDES,ESC. MARCO ANTONIO PONCE,105,314
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,106,347
